cassava4.1_000001m	GO:0008270,GO:0004842
cassava4.1_000068m	GO:0003725,GO:0005622,GO:0003676,GO:0005524,GO:0008026,GO:0004386,GO:0003723,GO:0004525,GO:0006396,GO:0005515,GO:0016891,GO:0003677,GO:0016787
cassava4.1_000069m	GO:0004674,GO:0016773,GO:0005515
cassava4.1_000070m	
cassava4.1_000071m	GO:0005515
cassava4.1_000072m	GO:0005515
cassava4.1_000073m	GO:0005515
cassava4.1_000074m	
cassava4.1_000075m	
cassava4.1_000076m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515
cassava4.1_000077m	
cassava4.1_000078m	GO:0016491,GO:0055114
cassava4.1_000079m	GO:0000166,GO:0003677,GO:0003887,GO:0006260
cassava4.1_000080m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000081m	GO:0005515,GO:0016070
cassava4.1_000082m	GO:0003843,GO:0006075,GO:0000148,GO:0016020
cassava4.1_000083m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
cassava4.1_000084m	GO:0006284,GO:0004519,GO:0051539
cassava4.1_000085m	
cassava4.1_000086m	GO:0005515,GO:0016070
cassava4.1_000087m	GO:0005515,GO:0005634,GO:0047134,GO:0055114,GO:0003677
cassava4.1_000088m	GO:0046872,GO:0016307,GO:0046488,GO:0044267,GO:0005524
cassava4.1_000089m	GO:0005085,GO:0005525,GO:0051020
cassava4.1_000090m	GO:0046872,GO:0016307,GO:0046488
cassava4.1_000091m	GO:0003677,GO:0003899,GO:0006350,GO:0006366,GO:0005665,GO:0006351
cassava4.1_000092m	GO:0016455,GO:0006357,GO:0016592,GO:0001104
cassava4.1_000093m	
cassava4.1_000094m	GO:0046872,GO:0016307,GO:0046488
cassava4.1_000095m	
cassava4.1_000096m	GO:0008270,GO:0005622,GO:0005515
cassava4.1_000097m	GO:0016032
cassava4.1_000098m	GO:0003723
cassava4.1_000099m	GO:0003723
cassava4.1_000100m	GO:0005515,GO:0016070
cassava4.1_000101m	
cassava4.1_000102m	GO:0016020
cassava4.1_000103m	GO:0005086,GO:0032012,GO:0005622,GO:0005515
cassava4.1_000104m	
cassava4.1_000105m	
cassava4.1_000106m	GO:0005515
cassava4.1_000107m	GO:0003677,GO:0006355,GO:0005634
cassava4.1_000108m	GO:0008270,GO:0005622,GO:0005515
cassava4.1_000109m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000110m	GO:0003677,GO:0005524,GO:0005515
cassava4.1_000111m	GO:0003843,GO:0006075,GO:0000148,GO:0016020
cassava4.1_000112m	GO:0003843,GO:0006075,GO:0000148,GO:0016020
cassava4.1_000113m	GO:0005515
cassava4.1_000114m	GO:0003677,GO:0005524,GO:0003676,GO:0004386
cassava4.1_000115m	
cassava4.1_000116m	GO:0016307,GO:0046488,GO:0044267,GO:0005524
cassava4.1_000117m	GO:0003677,GO:0005524,GO:0003676,GO:0004386
cassava4.1_000118m	GO:0003700,GO:0043565,GO:0006355
cassava4.1_000119m	
cassava4.1_000120m	
cassava4.1_000121m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000122m	GO:0003712,GO:0004402,GO:0008270,GO:0006355,GO:0005634,GO:0005515,GO:0047134,GO:0055114
cassava4.1_000123m	GO:0008270,GO:0005515,GO:0003712,GO:0004402,GO:0006355,GO:0005634,GO:0047134,GO:0055114
cassava4.1_000124m	GO:0003676,GO:0005524,GO:0008026,GO:0004386
cassava4.1_000125m	
cassava4.1_000126m	GO:0008270,GO:0005515,GO:0003712,GO:0004402,GO:0006355,GO:0005634,GO:0047134,GO:0055114
cassava4.1_000127m	GO:0003676,GO:0004386,GO:0005524,GO:0008270,GO:0008026
cassava4.1_000128m	GO:0005515
cassava4.1_000129m	GO:0006284,GO:0004519,GO:0051539
cassava4.1_000130m	
cassava4.1_000131m	GO:0005515,GO:0016070
cassava4.1_000132m	
cassava4.1_000133m	GO:0006886,GO:0016192,GO:0005198,GO:0030130,GO:0030132
cassava4.1_000134m	GO:0005198,GO:0006886,GO:0016192,GO:0030130,GO:0030132
cassava4.1_000135m	GO:0005515
cassava4.1_000136m	GO:0016307,GO:0046488,GO:0044267,GO:0005524
cassava4.1_000137m	GO:0005515
cassava4.1_000138m	GO:0005515
cassava4.1_000139m	
cassava4.1_000140m	GO:0006284,GO:0004519,GO:0051539
cassava4.1_000141m	GO:0016891,GO:0003677,GO:0005524,GO:0016787,GO:0003725,GO:0005622,GO:0003676,GO:0008026,GO:0004386,GO:0003723,GO:0004525,GO:0006396,GO:0005515
cassava4.1_000142m	
cassava4.1_000143m	GO:0005515
cassava4.1_000144m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0016787
cassava4.1_000145m	GO:0005515
cassava4.1_000146m	GO:0005515,GO:0003677
cassava4.1_000147m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
cassava4.1_000148m	
cassava4.1_000149m	GO:0005515
cassava4.1_000150m	GO:0003980,GO:0006486,GO:0016757
cassava4.1_000151m	GO:0003676,GO:0008270,GO:0005515
cassava4.1_000152m	GO:0004518,GO:0006281,GO:0006289,GO:0005634,GO:0004519,GO:0003697
cassava4.1_000153m	GO:0008270,GO:0005622,GO:0005515
cassava4.1_000154m	GO:0003677,GO:0006351,GO:0005634,GO:0030528
cassava4.1_000155m	GO:0003677,GO:0006351,GO:0005634,GO:0030528
cassava4.1_000156m	
cassava4.1_000157m	GO:0003677,GO:0006351,GO:0005634,GO:0030528
cassava4.1_000158m	GO:0003677,GO:0006351,GO:0005634,GO:0030528
cassava4.1_000159m	
cassava4.1_000160m	GO:0005515
cassava4.1_000161m	GO:0003677,GO:0030528,GO:0006350,GO:0005634,GO:0006351
cassava4.1_000162m	GO:0005515
cassava4.1_000163m	GO:0005515,GO:0004672,GO:0005524,GO:0006468
cassava4.1_000164m	
cassava4.1_000165m	
cassava4.1_000166m	
cassava4.1_000167m	GO:0004221,GO:0006511
cassava4.1_000168m	
cassava4.1_000169m	GO:0005515
cassava4.1_000170m	
cassava4.1_000171m	GO:0005515,GO:0004672,GO:0005524,GO:0006468
cassava4.1_000172m	GO:0003676,GO:0008270,GO:0003723,GO:0006396
cassava4.1_000173m	GO:0005515,GO:0003677,GO:0008080
cassava4.1_000174m	GO:0016032
cassava4.1_000175m	
cassava4.1_000176m	GO:0005515
cassava4.1_000177m	GO:0016881,GO:0006464,GO:0005622,GO:0005515
cassava4.1_000178m	
cassava4.1_000179m	
cassava4.1_000180m	GO:0005515
cassava4.1_000181m	
cassava4.1_000182m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000183m	GO:0003677,GO:0006306
cassava4.1_000184m	GO:0016779
cassava4.1_000185m	
cassava4.1_000186m	GO:0005515
cassava4.1_000187m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000188m	GO:0000166,GO:0003677,GO:0003887,GO:0006260,GO:0001882
cassava4.1_000189m	
cassava4.1_000190m	GO:0003677,GO:0003899,GO:0006350,GO:0006351,GO:0008270,GO:0005634
cassava4.1_000191m	GO:0003774,GO:0005524,GO:0016459,GO:0005515
cassava4.1_000192m	GO:0005515,GO:0006915,GO:0005524
cassava4.1_000193m	GO:0005515
cassava4.1_000194m	GO:0031072
cassava4.1_000195m	
cassava4.1_000196m	GO:0003677,GO:0005524,GO:0003676,GO:0004386
cassava4.1_000197m	GO:0031072
cassava4.1_000198m	GO:0008168,GO:0008270,GO:0005622,GO:0005515,GO:0018024,GO:0034968,GO:0005634
cassava4.1_000199m	
cassava4.1_000200m	GO:0005515
cassava4.1_000201m	GO:0005515
cassava4.1_000202m	GO:0003774,GO:0005524,GO:0016459,GO:0005515
cassava4.1_000203m	GO:0005515,GO:0003676,GO:0008270,GO:0003677,GO:0006352,GO:0016570,GO:0005634
cassava4.1_000204m	GO:0005515
cassava4.1_000205m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000206m	GO:0008104
cassava4.1_000207m	
cassava4.1_000208m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000209m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000210m	GO:0003677,GO:0005524,GO:0003676,GO:0004386
cassava4.1_000211m	
cassava4.1_000212m	
cassava4.1_000213m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000214m	GO:0008152,GO:0016491,GO:0055114,GO:0015930,GO:0016638,GO:0006537,GO:0006807
cassava4.1_000215m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000216m	
cassava4.1_000217m	GO:0003700,GO:0006355,GO:0005634,GO:0016032
cassava4.1_000218m	GO:0003774,GO:0005524,GO:0016459,GO:0005515
cassava4.1_000219m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000220m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000221m	
cassava4.1_000222m	GO:0005515
cassava4.1_000223m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0016787
cassava4.1_000224m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0016787
cassava4.1_000225m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000226m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000227m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000228m	
cassava4.1_000229m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000230m	
cassava4.1_000231m	GO:0003677,GO:0005524,GO:0003676,GO:0004386,GO:0005515,GO:0016787
cassava4.1_000232m	GO:0003774,GO:0005524,GO:0016459,GO:0005515
cassava4.1_000233m	GO:0005515
cassava4.1_000234m	GO:0005515
cassava4.1_000235m	GO:0005515
cassava4.1_000236m	GO:0003676,GO:0005634
cassava4.1_000237m	
cassava4.1_000238m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000239m	GO:0005515
cassava4.1_000240m	GO:0004842,GO:0016567,GO:0000151,GO:0005515
cassava4.1_000241m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000242m	
cassava4.1_000243m	GO:0005515
cassava4.1_000244m	GO:0005515,GO:0043531,GO:0006915,GO:0005524
cassava4.1_000245m	
cassava4.1_000246m	GO:0006355,GO:0005634
cassava4.1_000247m	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
cassava4.1_000248m	GO:0006355,GO:0005634
cassava4.1_000249m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000250m	GO:0003677,GO:0005515
cassava4.1_000251m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000252m	GO:0006355,GO:0005634
cassava4.1_000253m	
cassava4.1_000254m	
cassava4.1_000255m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000256m	GO:0005515
cassava4.1_000257m	
cassava4.1_000258m	GO:0005515
cassava4.1_000259m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000260m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_000261m	
cassava4.1_000262m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000263m	GO:0005525
cassava4.1_000264m	GO:0003824
cassava4.1_000265m	GO:0006355,GO:0005634
cassava4.1_000266m	GO:0005524,GO:0016301,GO:0016310
cassava4.1_000267m	
cassava4.1_000268m	GO:0008270
cassava4.1_000269m	GO:0005515
cassava4.1_000270m	
cassava4.1_000271m	
cassava4.1_000272m	GO:0005515
cassava4.1_000273m	
cassava4.1_000274m	
cassava4.1_000275m	GO:0005525,GO:0005622,GO:0007264
cassava4.1_000276m	
cassava4.1_000277m	GO:0030976,GO:0003824
cassava4.1_000278m	GO:0016779
cassava4.1_000279m	GO:0016032
cassava4.1_000280m	GO:0009058,GO:0016851
cassava4.1_000281m	
cassava4.1_000282m	GO:0008270,GO:0016787
cassava4.1_000283m	GO:0003924,GO:0005525
cassava4.1_000284m	
cassava4.1_000285m	
cassava4.1_000286m	
cassava4.1_000287m	GO:0009055,GO:0051536,GO:0016491,GO:0055114,GO:0046872
cassava4.1_000288m	
cassava4.1_000289m	
cassava4.1_000290m	GO:0031072
cassava4.1_000291m	GO:0007165,GO:0005515,GO:0043531,GO:0005622,GO:0045087,GO:0031224,GO:0004888,GO:0006915,GO:0005524
cassava4.1_000292m	
cassava4.1_000293m	GO:0031072,GO:0005515
cassava4.1_000294m	
cassava4.1_000295m	GO:0003677
cassava4.1_000296m	
cassava4.1_000297m	
cassava4.1_000298m	GO:0003677,GO:0003899,GO:0006351,GO:0032549,GO:0008270,GO:0005634
cassava4.1_000299m	GO:0005515
cassava4.1_000300m	
cassava4.1_000301m	GO:0003677,GO:0003899,GO:0006351,GO:0032549,GO:0008270,GO:0005634
cassava4.1_000302m	GO:0005515
cassava4.1_000303m	GO:0005515
cassava4.1_000304m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000305m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000306m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000307m	GO:0005515
cassava4.1_000308m	GO:0005515,GO:0030117,GO:0016192,GO:0006886
cassava4.1_000309m	GO:0003712,GO:0006355
cassava4.1_000310m	GO:0005515
cassava4.1_000311m	GO:0005524,GO:0016887,GO:0006810,GO:0016020
cassava4.1_000312m	
cassava4.1_000313m	GO:0003676,GO:0005524,GO:0008026,GO:0004386,GO:0003677,GO:0016787
cassava4.1_000314m	GO:0005515
cassava4.1_000315m	GO:0016779
cassava4.1_000316m	GO:0003676,GO:0004386,GO:0005524,GO:0005515,GO:0008270,GO:0003677
cassava4.1_000317m	GO:0016779
cassava4.1_000318m	GO:0016779
cassava4.1_000319m	GO:0016779
cassava4.1_000320m	
cassava4.1_000321m	GO:0006355,GO:0005634
cassava4.1_000322m	GO:0006629,GO:0005515
cassava4.1_000323m	GO:0005515,GO:0043531,GO:0006915,GO:0005524
cassava4.1_000324m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000325m	GO:0005515,GO:0043531,GO:0006915,GO:0005524
cassava4.1_000326m	GO:0006355,GO:0005634
cassava4.1_000327m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000328m	
cassava4.1_000329m	GO:0005515
cassava4.1_000330m	GO:0016491,GO:0055114,GO:0046872
cassava4.1_000331m	GO:0005515,GO:0043531,GO:0007165,GO:0005622
cassava4.1_000332m	
cassava4.1_000333m	
cassava4.1_000334m	GO:0005515,GO:0043531
cassava4.1_000335m	GO:0006355,GO:0005634
cassava4.1_000336m	GO:0005086,GO:0032012,GO:0005622
cassava4.1_000337m	
cassava4.1_000338m	
cassava4.1_000339m	GO:0000166,GO:0046872,GO:0003824,GO:0008152
cassava4.1_000340m	
cassava4.1_000341m	
cassava4.1_000342m	GO:0003843,GO:0006075,GO:0000148,GO:0016020
cassava4.1_000343m	
cassava4.1_000344m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_000345m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000346m	
cassava4.1_000347m	GO:0005215,GO:0006810,GO:0016020
cassava4.1_000348m	GO:0005215,GO:0006810,GO:0016020
cassava4.1_000349m	
cassava4.1_000350m	GO:0005515,GO:0043531
cassava4.1_000351m	GO:0005215,GO:0006810,GO:0016020
cassava4.1_000352m	GO:0005524,GO:0005515,GO:0016887
cassava4.1_000353m	GO:0005215,GO:0006810,GO:0016020
cassava4.1_000354m	GO:0003676
cassava4.1_000355m	GO:0005515
cassava4.1_000356m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000357m	GO:0003677,GO:0004003,GO:0005524,GO:0006260
cassava4.1_000358m	GO:0005525
cassava4.1_000359m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000360m	GO:0005515
cassava4.1_000361m	GO:0003676,GO:0005634
cassava4.1_000362m	
cassava4.1_000363m	GO:0000228,GO:0005515
cassava4.1_000364m	GO:0003677,GO:0003887,GO:0006350,GO:0006351
cassava4.1_000365m	
cassava4.1_000366m	GO:0005515
cassava4.1_000367m	
cassava4.1_000368m	GO:0005515,GO:0043531,GO:0006915,GO:0005524
cassava4.1_000369m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000370m	GO:0035556,GO:0005515,GO:0047134,GO:0055114
cassava4.1_000371m	GO:0005515
cassava4.1_000372m	
cassava4.1_000373m	GO:0003677,GO:0004386,GO:0005524,GO:0008270,GO:0000184,GO:0005737,GO:0016787
cassava4.1_000374m	GO:0005634,GO:0005515,GO:0003677
cassava4.1_000375m	GO:0016787,GO:0003824
cassava4.1_000376m	GO:0016772,GO:0016773,GO:0005515
cassava4.1_000377m	GO:0008270
cassava4.1_000378m	
cassava4.1_000379m	GO:0005515
cassava4.1_000380m	GO:0005515
cassava4.1_000381m	GO:0005515
cassava4.1_000382m	GO:0003777,GO:0005524,GO:0007018
cassava4.1_000383m	
cassava4.1_000384m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000385m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000386m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000387m	GO:0000156,GO:0000160,GO:0006355,GO:0000155,GO:0007165,GO:0016020,GO:0005524
cassava4.1_000388m	GO:0000156,GO:0000160,GO:0006355,GO:0000155,GO:0007165,GO:0016020,GO:0005524
cassava4.1_000389m	GO:0005525
cassava4.1_000390m	GO:0005524,GO:0005515,GO:0016887
cassava4.1_000391m	GO:0008270,GO:0005622,GO:0003677,GO:0005634
cassava4.1_000392m	GO:0000228,GO:0005515
cassava4.1_000393m	GO:0003677,GO:0005524,GO:0003676,GO:0004386
cassava4.1_000394m	
cassava4.1_000395m	GO:0000156,GO:0000160,GO:0006355,GO:0000155,GO:0007165,GO:0016020,GO:0005524
cassava4.1_000396m	GO:0008270
cassava4.1_000397m	GO:0000156,GO:0000160,GO:0006355,GO:0000155,GO:0007165,GO:0016020,GO:0005524
cassava4.1_000398m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000399m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000400m	GO:0035556,GO:0005515,GO:0047134,GO:0055114
cassava4.1_000401m	
cassava4.1_000402m	GO:0016020,GO:0008158
cassava4.1_000403m	
cassava4.1_000404m	
cassava4.1_000405m	GO:0005524,GO:0005515
cassava4.1_000406m	
cassava4.1_000407m	GO:0005524,GO:0005515,GO:0016887
cassava4.1_000408m	GO:0005856,GO:0003777,GO:0005524,GO:0007018
cassava4.1_000409m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000410m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000411m	GO:0005524,GO:0005515,GO:0016887
cassava4.1_000412m	
cassava4.1_000413m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000414m	
cassava4.1_000415m	
cassava4.1_000416m	GO:0003676,GO:0005524,GO:0008026,GO:0004386
cassava4.1_000417m	
cassava4.1_000418m	GO:0005515,GO:0051087,GO:0006915
cassava4.1_000419m	
cassava4.1_000420m	GO:0005515,GO:0051087,GO:0006915
cassava4.1_000421m	
cassava4.1_000422m	
cassava4.1_000423m	GO:0003824,GO:0008152
cassava4.1_000424m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000425m	GO:0003824,GO:0008152,GO:0046872,GO:0000166
cassava4.1_000426m	GO:0005515,GO:0043531
cassava4.1_000427m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_000428m	GO:0003824,GO:0008152
cassava4.1_000429m	
cassava4.1_000430m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000431m	GO:0006813,GO:0015299,GO:0006812,GO:0055085,GO:0016021
cassava4.1_000432m	GO:0015299,GO:0006812,GO:0055085,GO:0016021,GO:0006813
cassava4.1_000433m	GO:0005524,GO:0005694,GO:0016032,GO:0005515,GO:0051276
cassava4.1_000434m	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0005515,GO:0030126
cassava4.1_000435m	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0005515,GO:0030126
cassava4.1_000436m	GO:0003824,GO:0008152,GO:0046872,GO:0000166
cassava4.1_000437m	GO:0005515
cassava4.1_000438m	GO:0005515
cassava4.1_000439m	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0005515,GO:0030126
cassava4.1_000440m	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0005515,GO:0030126
cassava4.1_000441m	
cassava4.1_000442m	GO:0031227,GO:0016788,GO:0006886,GO:0006505
cassava4.1_000443m	
cassava4.1_000444m	GO:0003676,GO:0005634
cassava4.1_000445m	GO:0003677,GO:0005524,GO:0003676,GO:0004386
cassava4.1_000446m	GO:0003723,GO:0006397,GO:0005634
cassava4.1_000447m	GO:0005622,GO:0005515
cassava4.1_000448m	GO:0003774,GO:0005524,GO:0016459,GO:0005515
cassava4.1_000449m	GO:0003725,GO:0005622,GO:0003676,GO:0005524,GO:0008026,GO:0004386
cassava4.1_000450m	GO:0005515,GO:0046872
cassava4.1_000451m	
cassava4.1_000452m	
cassava4.1_000453m	
cassava4.1_000454m	GO:0003677,GO:0003899,GO:0006351,GO:0032549
cassava4.1_000455m	GO:0042254,GO:0005634
cassava4.1_000456m	GO:0003774,GO:0005524,GO:0016459,GO:0005515
cassava4.1_000457m	GO:0005515,GO:0016070
cassava4.1_000458m	
cassava4.1_000459m	
cassava4.1_000460m	GO:0005515,GO:0043531
cassava4.1_000461m	GO:0003677
cassava4.1_000462m	GO:0003968
cassava4.1_000463m	GO:0005524,GO:0005515,GO:0016887
cassava4.1_000464m	
cassava4.1_000465m	
cassava4.1_000466m	GO:0003677,GO:0003899,GO:0006351,GO:0032549
cassava4.1_000467m	GO:0005524,GO:0003887
cassava4.1_000468m	GO:0005515,GO:0043531
cassava4.1_000469m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000470m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_000471m	GO:0000166,GO:0046872,GO:0003824,GO:0008152
cassava4.1_000472m	
cassava4.1_000473m	GO:0005524,GO:0003887
cassava4.1_000474m	GO:0003824,GO:0008152,GO:0046872,GO:0000166
cassava4.1_000475m	GO:0003677,GO:0003899,GO:0006351,GO:0032549
cassava4.1_000476m	
cassava4.1_000477m	
cassava4.1_000478m	
cassava4.1_000479m	GO:0003676,GO:0004386,GO:0005524,GO:0003723,GO:0008026
cassava4.1_000480m	GO:0003824,GO:0008152,GO:0046872,GO:0000166
cassava4.1_000481m	
cassava4.1_000482m	
cassava4.1_000483m	GO:0003777,GO:0005524,GO:0007018
cassava4.1_000484m	
cassava4.1_000485m	GO:0005515,GO:0043531,GO:0006915,GO:0005524
cassava4.1_000486m	GO:0008168,GO:0006139
cassava4.1_000487m	GO:0030216,GO:0001533,GO:0003677,GO:0046983
cassava4.1_000488m	GO:0008270
cassava4.1_000489m	GO:0003676,GO:0004386,GO:0005524,GO:0008026
cassava4.1_000490m	
cassava4.1_000491m	
cassava4.1_000492m	
cassava4.1_000493m	
cassava4.1_000494m	
cassava4.1_000495m	
cassava4.1_000496m	GO:0005515,GO:0043531,GO:0006915,GO:0005524
cassava4.1_000497m	GO:0005524,GO:0016301,GO:0016310,GO:2001070,GO:0005975,GO:0003824
cassava4.1_000498m	
cassava4.1_000499m	
cassava4.1_000500m	
cassava4.1_000501m	GO:0006606,GO:0005643
cassava4.1_000502m	GO:0005515
cassava4.1_000503m	
