Ciclev10000001m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
Ciclev10000179m	GO:0006915,GO:0005524
Ciclev10000180m	
Ciclev10000181m	GO:0005515
Ciclev10000182m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000183m	GO:0006355,GO:0005634,GO:0003677,GO:0009725
Ciclev10000184m	GO:0007275,GO:0005634,GO:0003712
Ciclev10000185m	GO:0007275,GO:0005634,GO:0003712
Ciclev10000186m	GO:0005515
Ciclev10000187m	GO:0005515
Ciclev10000188m	GO:0005515
Ciclev10000189m	GO:0005515
Ciclev10000190m	GO:0016891,GO:0006397,GO:0006468,GO:0005524,GO:0004672
Ciclev10000191m	GO:0005525,GO:0003924
Ciclev10000192m	GO:0006468,GO:0004672
Ciclev10000193m	GO:0005515
Ciclev10000194m	GO:0005515
Ciclev10000195m	GO:0016020,GO:0005234,GO:0004970,GO:0030288,GO:0006810,GO:0005215
Ciclev10000196m	GO:0005515
Ciclev10000197m	GO:0005515
Ciclev10000198m	GO:0006915,GO:0005524
Ciclev10000199m	GO:0016021,GO:0006665,GO:0004348
Ciclev10000200m	GO:0005975,GO:0004553
Ciclev10000201m	GO:0008234,GO:0006508
Ciclev10000202m	
Ciclev10000203m	
Ciclev10000204m	GO:0042578
Ciclev10000205m	GO:0005634,GO:0003677
Ciclev10000206m	GO:0005515,GO:0006915,GO:0005524
Ciclev10000207m	
Ciclev10000208m	
Ciclev10000209m	
Ciclev10000210m	GO:0051726,GO:0005634
Ciclev10000211m	GO:0051726,GO:0005634
Ciclev10000212m	
Ciclev10000213m	
Ciclev10000214m	
Ciclev10000215m	
Ciclev10000216m	GO:0005525,GO:0003924,GO:0005515
Ciclev10000217m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000218m	
Ciclev10000219m	GO:0016891,GO:0006397,GO:0006468,GO:0005524,GO:0004672
Ciclev10000220m	GO:0009055,GO:0055114,GO:0016491,GO:0030151,GO:0020037
Ciclev10000221m	GO:0006915,GO:0005524
Ciclev10000222m	
Ciclev10000223m	GO:0006915,GO:0005524
Ciclev10000224m	GO:0035556,GO:0045454,GO:0015035,GO:0009055
Ciclev10000225m	GO:0006355,GO:0003677,GO:0008270
Ciclev10000226m	GO:0035556,GO:0045454,GO:0015035,GO:0009055
Ciclev10000227m	GO:0050660,GO:0016491,GO:0016021,GO:0009055,GO:0005506,GO:0055114,GO:0050664,GO:0004601
Ciclev10000228m	GO:0006915,GO:0005524
Ciclev10000229m	
Ciclev10000230m	
Ciclev10000231m	GO:0008152,GO:0003951
Ciclev10000232m	
Ciclev10000233m	
Ciclev10000234m	GO:0005524,GO:0004386,GO:0003676,GO:0008026,GO:0006310
Ciclev10000235m	GO:0050660,GO:0016491,GO:0016021,GO:0009055,GO:0005506
Ciclev10000236m	GO:0005515,GO:0055114,GO:0046872,GO:0016702
Ciclev10000237m	
Ciclev10000238m	GO:0003676,GO:0006397,GO:0005634
Ciclev10000239m	GO:0005515
Ciclev10000240m	
Ciclev10000241m	GO:0005515
Ciclev10000242m	GO:0006468,GO:0004672
Ciclev10000243m	GO:0019001,GO:0007186,GO:0004871
Ciclev10000244m	GO:0019001,GO:0007186,GO:0004871
Ciclev10000245m	GO:0019001,GO:0007186,GO:0004871
Ciclev10000246m	GO:0005992,GO:0003824
Ciclev10000247m	GO:0005992,GO:0003824
Ciclev10000248m	GO:0005992,GO:0003824
Ciclev10000249m	GO:0005992,GO:0003824
Ciclev10000250m	GO:0004222,GO:0008270,GO:0006508,GO:0007155,GO:0016020
Ciclev10000251m	GO:0003677,GO:0006306
Ciclev10000252m	GO:0008270
Ciclev10000253m	GO:0019001,GO:0007186,GO:0004871
Ciclev10000254m	GO:0003677,GO:0006260,GO:0005634,GO:0008270,GO:0003676
Ciclev10000255m	GO:0008270
Ciclev10000256m	GO:0005975,GO:0004553,GO:0043169,GO:0003824
Ciclev10000257m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000258m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000259m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000260m	GO:0005529,GO:0005975,GO:0004553
Ciclev10000261m	GO:0003676,GO:0006397,GO:0005634
Ciclev10000262m	GO:0005634
Ciclev10000263m	GO:0008270,GO:0005622
Ciclev10000264m	GO:0005515
Ciclev10000265m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000266m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000267m	GO:0006508,GO:0005524,GO:0004222
Ciclev10000268m	GO:0005515,GO:0016491
Ciclev10000269m	GO:0005515,GO:0008152,GO:0003824
Ciclev10000270m	GO:0035556,GO:0045454,GO:0015035,GO:0009055
Ciclev10000271m	
Ciclev10000272m	GO:0005975,GO:0004553,GO:0043169,GO:0003824
Ciclev10000273m	GO:0005515,GO:0055085,GO:0016020,GO:0006811,GO:0005216
Ciclev10000274m	
Ciclev10000275m	GO:0006915,GO:0005524
Ciclev10000276m	GO:0055085,GO:0016021,GO:0015299,GO:0006812
Ciclev10000277m	GO:0006915,GO:0005524
Ciclev10000278m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000279m	GO:0016787
Ciclev10000280m	GO:0005515
Ciclev10000281m	GO:0005515,GO:0006915,GO:0005524
Ciclev10000282m	
Ciclev10000283m	
Ciclev10000284m	
Ciclev10000285m	
Ciclev10000286m	GO:0005515
Ciclev10000287m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000288m	GO:0030244,GO:0016760,GO:0016020
Ciclev10000289m	
Ciclev10000290m	
Ciclev10000291m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000292m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000293m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000294m	
Ciclev10000295m	GO:0005515
Ciclev10000296m	GO:0051082,GO:0006950,GO:0006457,GO:0005524
Ciclev10000297m	GO:0055085,GO:0016021,GO:0015299,GO:0006812
Ciclev10000298m	GO:0008236,GO:0006508,GO:0004252
Ciclev10000299m	GO:0005515
Ciclev10000300m	GO:0005515
Ciclev10000301m	
Ciclev10000302m	
Ciclev10000303m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000304m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000305m	GO:0005815,GO:0000922,GO:0000226
Ciclev10000306m	GO:0005515,GO:0016567,GO:0004842,GO:0000151
Ciclev10000307m	
Ciclev10000308m	GO:0008168
Ciclev10000309m	GO:0008168,GO:0001510,GO:0009452
Ciclev10000310m	
Ciclev10000311m	GO:0008168
Ciclev10000312m	GO:0016020
Ciclev10000313m	GO:0005515
Ciclev10000314m	GO:0016891,GO:0006397,GO:0006468,GO:0005524,GO:0004672
Ciclev10000315m	GO:0005515,GO:0006915,GO:0005524
Ciclev10000316m	GO:0006355,GO:0000160,GO:0000156,GO:0005524,GO:0016020,GO:0007165,GO:0000155
Ciclev10000317m	
Ciclev10000318m	
Ciclev10000319m	
Ciclev10000320m	
Ciclev10000321m	
Ciclev10000322m	
Ciclev10000323m	GO:0006915,GO:0005524
Ciclev10000324m	GO:0005515
Ciclev10000325m	GO:0005515
Ciclev10000326m	GO:0006629,GO:0004806
Ciclev10000327m	GO:0006915,GO:0005524
Ciclev10000328m	GO:0008168
Ciclev10000329m	GO:0006915,GO:0005524
Ciclev10000330m	GO:0042254,GO:0005634
Ciclev10000331m	GO:0006915,GO:0005524
Ciclev10000332m	
Ciclev10000333m	
Ciclev10000334m	GO:0046488,GO:0016307
Ciclev10000335m	
Ciclev10000336m	GO:0005515,GO:0055085,GO:0016020,GO:0006821,GO:0005247
Ciclev10000337m	GO:0003723
Ciclev10000338m	GO:0006915,GO:0005524
Ciclev10000339m	GO:0006508,GO:0004252,GO:0043086,GO:0042802
Ciclev10000340m	GO:0016020,GO:0015662,GO:0006812,GO:0006754,GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000341m	GO:0003723,GO:0005524,GO:0016818,GO:0005634,GO:0004386,GO:0003676,GO:0008026
Ciclev10000342m	GO:0046488,GO:0016307
Ciclev10000343m	
Ciclev10000344m	GO:0005524
Ciclev10000345m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000346m	GO:0005515
Ciclev10000347m	GO:0005975,GO:0004553,GO:0043169,GO:0003824
Ciclev10000348m	GO:0006289,GO:0005634,GO:0003684
Ciclev10000349m	GO:0006508,GO:0004252,GO:0043086,GO:0042802
Ciclev10000350m	GO:0006508,GO:0004252,GO:0043086,GO:0042802
Ciclev10000351m	GO:0048544,GO:0005529,GO:0006468,GO:0005524,GO:0004672
Ciclev10000352m	GO:0005975,GO:0004553
Ciclev10000353m	GO:0006281,GO:0005524,GO:0004003,GO:0003677
Ciclev10000354m	GO:0008152,GO:0003824,GO:0046872,GO:0000166
Ciclev10000355m	GO:0005975,GO:0004553
Ciclev10000356m	
Ciclev10000357m	
Ciclev10000358m	GO:0006950,GO:0006468,GO:0005524,GO:0004672
Ciclev10000359m	GO:0005525,GO:0003924
Ciclev10000360m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000361m	
Ciclev10000363m	GO:0006508,GO:0004252,GO:0043086,GO:0042802
Ciclev10000364m	GO:0006508,GO:0004252,GO:0043086,GO:0042802
Ciclev10000365m	GO:0016788,GO:0006629,GO:0007018,GO:0005524,GO:0003777
Ciclev10000366m	
Ciclev10000367m	
Ciclev10000368m	
Ciclev10000369m	
Ciclev10000370m	
Ciclev10000371m	GO:0008236,GO:0006508,GO:0004252
Ciclev10000372m	
Ciclev10000373m	
Ciclev10000374m	GO:0005975,GO:0004553,GO:0043169,GO:0003824
Ciclev10000375m	
Ciclev10000376m	
Ciclev10000377m	GO:0003824,GO:0005992
Ciclev10000378m	GO:0016747
Ciclev10000379m	GO:0006260,GO:0005971,GO:0004748,GO:0055114,GO:0005524
Ciclev10000380m	
Ciclev10000381m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000382m	
Ciclev10000383m	GO:0008270
Ciclev10000384m	GO:0017038,GO:0016020,GO:0005524
Ciclev10000385m	GO:0008270,GO:0003676,GO:0005622,GO:0004527
Ciclev10000386m	
Ciclev10000387m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000388m	GO:0042254,GO:0005634
Ciclev10000389m	GO:0016567,GO:0004842,GO:0000151
Ciclev10000390m	GO:0003676,GO:0006397,GO:0005634
Ciclev10000392m	GO:0016020
Ciclev10000393m	GO:0005975,GO:0004553
Ciclev10000394m	
Ciclev10000395m	
Ciclev10000396m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000397m	GO:0005515
Ciclev10000398m	
Ciclev10000399m	
Ciclev10000400m	GO:0055085,GO:0022857,GO:0016021
Ciclev10000401m	GO:0005515,GO:0006915,GO:0005524
Ciclev10000402m	
Ciclev10000403m	
Ciclev10000404m	GO:0005975,GO:0004553
Ciclev10000405m	GO:0008270,GO:0005515
Ciclev10000406m	GO:0005975,GO:0004553,GO:0043169,GO:0003824
Ciclev10000407m	
Ciclev10000408m	GO:0005515,GO:0016570,GO:0006352,GO:0005634,GO:0003677
Ciclev10000409m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000410m	GO:0005515,GO:0016570,GO:0006352,GO:0005634,GO:0003677
Ciclev10000411m	GO:0006508,GO:0004252,GO:0043086,GO:0042802
Ciclev10000412m	GO:0055085,GO:0016020
Ciclev10000413m	GO:0016567,GO:0004842,GO:0000151
Ciclev10000414m	
Ciclev10000415m	GO:0042545,GO:0030599,GO:0005618,GO:0004857
Ciclev10000416m	GO:0006364,GO:0005634
Ciclev10000417m	
Ciclev10000418m	
Ciclev10000419m	
Ciclev10000420m	GO:0005975,GO:0004553
Ciclev10000421m	GO:0006468,GO:0004672
Ciclev10000422m	GO:0006508,GO:0005524,GO:0004222
Ciclev10000423m	GO:0003676,GO:0006397,GO:0005634
Ciclev10000424m	
Ciclev10000425m	
Ciclev10000426m	
Ciclev10000427m	GO:0000166,GO:0004812,GO:0005524,GO:0006412,GO:0006418,GO:0005737,GO:0043039,GO:0016876
Ciclev10000428m	
Ciclev10000429m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000430m	
Ciclev10000431m	
Ciclev10000432m	GO:0006289,GO:0004518,GO:0003677
Ciclev10000433m	GO:0005524
Ciclev10000434m	
Ciclev10000435m	GO:0042545,GO:0030599,GO:0005618,GO:0004857
Ciclev10000436m	GO:0042545,GO:0030599,GO:0005618,GO:0004857
Ciclev10000437m	
Ciclev10000438m	
Ciclev10000439m	GO:0055085,GO:0042626,GO:0016021,GO:0006810,GO:0005524,GO:0016887
Ciclev10000440m	GO:0005525,GO:0003924
Ciclev10000441m	GO:0055085,GO:0016020,GO:0006810,GO:0005215
Ciclev10000442m	
Ciclev10000443m	GO:0055085,GO:0016020,GO:0006810,GO:0005215
Ciclev10000444m	GO:0055085,GO:0016020,GO:0006810,GO:0005215
Ciclev10000445m	
Ciclev10000446m	GO:0042545,GO:0030599,GO:0005618,GO:0004857
Ciclev10000447m	GO:0004143,GO:0007205,GO:0035556
Ciclev10000448m	
Ciclev10000449m	
Ciclev10000450m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000451m	
Ciclev10000452m	GO:0005975,GO:0004553,GO:0043169,GO:0003824
Ciclev10000453m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000454m	
Ciclev10000455m	
Ciclev10000456m	GO:0008270
Ciclev10000457m	
Ciclev10000458m	GO:0018342,GO:0008318
Ciclev10000459m	
Ciclev10000460m	GO:0050660,GO:0016491,GO:0016021,GO:0009055,GO:0005506
Ciclev10000461m	GO:0008152,GO:0003824
Ciclev10000462m	
Ciclev10000463m	GO:0008168
Ciclev10000464m	GO:0016021,GO:0004674,GO:0006468,GO:0005524,GO:0004672
Ciclev10000465m	GO:0055085,GO:0016020
Ciclev10000466m	GO:0008152,GO:0003824
Ciclev10000467m	GO:0016787
Ciclev10000468m	GO:0016787
Ciclev10000469m	GO:0055114,GO:0016491,GO:0010181
Ciclev10000470m	GO:0003723
Ciclev10000471m	GO:0005515
Ciclev10000472m	
Ciclev10000473m	GO:0003723
Ciclev10000474m	
Ciclev10000475m	
Ciclev10000476m	GO:0003723
Ciclev10000477m	GO:0003723
Ciclev10000478m	
Ciclev10000479m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000480m	GO:0006950,GO:0006468,GO:0005524,GO:0004672
Ciclev10000481m	GO:0005515
Ciclev10000482m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000483m	
Ciclev10000484m	
Ciclev10000485m	
Ciclev10000486m	GO:0006289,GO:0005634,GO:0003684
Ciclev10000487m	GO:0003677,GO:0006306
Ciclev10000488m	
Ciclev10000489m	GO:0006355,GO:0003677,GO:0008270
Ciclev10000490m	GO:0016161,GO:0000272
Ciclev10000491m	GO:0006355,GO:0005634,GO:0003677,GO:0009725
Ciclev10000492m	GO:0006281,GO:0003913
Ciclev10000493m	GO:0006281,GO:0003913
Ciclev10000494m	
Ciclev10000495m	
Ciclev10000496m	GO:0008270
Ciclev10000497m	GO:0005515,GO:0055085,GO:0016020,GO:0006811,GO:0005216
Ciclev10000498m	GO:0006950,GO:0006468,GO:0005524,GO:0004672
Ciclev10000499m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000500m	
Ciclev10000501m	GO:0016161,GO:0000272
Ciclev10000502m	GO:0005524
Ciclev10000503m	GO:0016747
Ciclev10000504m	GO:0000062,GO:0005515
Ciclev10000505m	
Ciclev10000506m	GO:0016747
Ciclev10000507m	GO:0016747
Ciclev10000508m	GO:0043565,GO:0006355,GO:0003700
Ciclev10000509m	GO:0006094,GO:0005524,GO:0004612
Ciclev10000510m	GO:0006094,GO:0005524,GO:0004612
Ciclev10000511m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000512m	
Ciclev10000513m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000514m	GO:0016485,GO:0016021
Ciclev10000515m	GO:0006468,GO:0005524,GO:0004672,GO:0016998
Ciclev10000516m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000517m	GO:0006468,GO:0004672,GO:0005515
Ciclev10000518m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000519m	GO:0055085,GO:0016021,GO:0006810,GO:0005215
Ciclev10000520m	GO:0055085,GO:0016021,GO:0006810,GO:0005215
Ciclev10000521m	GO:0055085,GO:0016021,GO:0006810,GO:0005215
Ciclev10000522m	
Ciclev10000523m	GO:0005515,GO:0042393,GO:0034968,GO:0018024,GO:0008270,GO:0005634
Ciclev10000524m	GO:0005515,GO:0042393,GO:0034968,GO:0018024,GO:0008270,GO:0005634
Ciclev10000525m	
Ciclev10000526m	GO:0055085,GO:0016021,GO:0006810,GO:0005215
Ciclev10000527m	
Ciclev10000528m	GO:0055085,GO:0016021,GO:0006810,GO:0005215
Ciclev10000529m	GO:0055085,GO:0016021,GO:0006810,GO:0005215
Ciclev10000530m	
Ciclev10000531m	GO:0005524
Ciclev10000532m	
Ciclev10000533m	
Ciclev10000534m	
Ciclev10000535m	GO:0016485,GO:0016021
Ciclev10000536m	GO:0016020
Ciclev10000537m	GO:0003676,GO:0003723
Ciclev10000538m	GO:0005515
Ciclev10000539m	
Ciclev10000540m	GO:0007264,GO:0005622,GO:0005525
Ciclev10000541m	GO:0007264,GO:0005622,GO:0005525
Ciclev10000542m	
Ciclev10000543m	
Ciclev10000544m	
Ciclev10000545m	GO:0007264,GO:0005622,GO:0005525
Ciclev10000546m	
Ciclev10000547m	
Ciclev10000548m	GO:0006468,GO:0005524,GO:0004672
Ciclev10000549m	
Ciclev10000550m	
Ciclev10000551m	GO:0031072
Ciclev10000552m	
Ciclev10000553m	GO:0005529,GO:0005975,GO:0004553
Ciclev10000554m	
Ciclev10000555m	
Ciclev10000556m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000557m	GO:0016887,GO:0005524,GO:0042626,GO:0016021,GO:0006810,GO:0016020
Ciclev10000558m	
Ciclev10000559m	GO:0016758,GO:0008152,GO:0030259,GO:0005975
Ciclev10000560m	GO:0005515,GO:0055085,GO:0016020,GO:0006821,GO:0005247
Ciclev10000561m	GO:0005515,GO:0055085,GO:0016020,GO:0006821,GO:0005247
Ciclev10000562m	GO:0007018,GO:0005524,GO:0003777
Ciclev10000563m	GO:0005515
Ciclev10000564m	
Ciclev10000565m	GO:0006508,GO:0004190
Ciclev10000566m	
Ciclev10000567m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10000568m	
Ciclev10000569m	GO:0005515,GO:0006468,GO:0005524,GO:0004672
Ciclev10000570m	GO:0016787,GO:0009987
