Phpat.001G000100.1	GO:0005089
Phpat.001G010400.1	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G010500.1	
Phpat.001G010600.1	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G010700.1	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G010800.1	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G010900.1	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G010900.2	GO:0000166,GO:0046872,GO:0030001,GO:0003824,GO:0008152
Phpat.001G011000.1	
Phpat.001G011100.1	
Phpat.001G011200.1	
Phpat.001G011300.1	GO:0016779,GO:0009058
Phpat.001G011400.1	
Phpat.001G011500.1	
Phpat.001G011600.1	GO:0005509
Phpat.001G011600.2	GO:0005509
Phpat.001G011600.3	GO:0005509
Phpat.001G011700.1	
Phpat.001G011800.1	
Phpat.001G011900.1	
Phpat.001G011900.2	
Phpat.001G011900.3	
Phpat.001G012000.1	GO:0000049
Phpat.001G012100.1	GO:0003735,GO:0006412,GO:0005840
Phpat.001G012100.2	GO:0003735,GO:0006412,GO:0005840
Phpat.001G012200.1	GO:0005198,GO:0009507
Phpat.001G012200.2	GO:0005198,GO:0009507
Phpat.001G012200.3	GO:0005198,GO:0009507
Phpat.001G012300.1	
Phpat.001G012400.1	
Phpat.001G012400.2	
Phpat.001G012400.3	
Phpat.001G012400.4	
Phpat.001G012400.5	
Phpat.001G012500.1	GO:0006457
Phpat.001G012500.2	GO:0006457
Phpat.001G012500.3	GO:0006457
Phpat.001G012500.4	GO:0006457
Phpat.001G012500.5	GO:0006457
Phpat.001G012600.1	GO:0003735,GO:0006412,GO:0005840
Phpat.001G012700.1	GO:0005525
Phpat.001G012700.2	GO:0005525
Phpat.001G012800.1	
Phpat.001G012900.1	GO:0005515
Phpat.001G013000.1	
Phpat.001G013100.1	
Phpat.001G013200.1	
Phpat.001G013300.1	
Phpat.001G013300.2	
Phpat.001G013300.3	
Phpat.001G013400.1	
Phpat.001G013500.1	
Phpat.001G013600.1	GO:0003677,GO:0005524,GO:0003676,GO:0004386
Phpat.001G013600.2	GO:0003677,GO:0005524,GO:0003676,GO:0004386
Phpat.001G013700.1	GO:0019825,GO:0015671
Phpat.001G013800.1	
Phpat.001G013900.1	
Phpat.001G014000.1	
Phpat.001G014000.2	
Phpat.001G014100.1	
Phpat.001G014200.1	GO:0005215,GO:0006810,GO:0055085,GO:0016021
Phpat.001G014300.1	
Phpat.001G014400.1	
Phpat.001G014500.1	
Phpat.001G014600.1	GO:0005515
Phpat.001G014700.1	
Phpat.001G014800.1	
Phpat.001G014900.1	GO:0005515
Phpat.001G014900.2	GO:0005515
Phpat.001G014900.3	GO:0005515
Phpat.001G015000.1	
Phpat.001G015100.1	
Phpat.001G015100.2	
Phpat.001G015100.3	
Phpat.001G015100.4	
Phpat.001G015200.1	GO:0005515
Phpat.001G015300.1	
Phpat.001G015400.1	
Phpat.001G015500.1	
Phpat.001G015500.2	
Phpat.001G015600.1	
Phpat.001G015700.1	GO:0055085
Phpat.001G015800.1	
Phpat.001G015900.1	
Phpat.001G016000.1	
Phpat.001G016100.1	
Phpat.001G016100.2	
Phpat.001G016100.3	
Phpat.001G016200.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G016200.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G016300.1	
Phpat.001G016300.2	
Phpat.001G016400.1	GO:0004683,GO:0005516,GO:0006468
Phpat.001G016500.1	GO:0005524,GO:0019205,GO:0006139
Phpat.001G016600.1	
Phpat.001G016700.1	
Phpat.001G016800.1	
Phpat.001G016800.2	
Phpat.001G016800.3	
Phpat.001G016800.4	
Phpat.001G016800.5	
Phpat.001G016800.6	
Phpat.001G016800.7	
Phpat.001G016900.1	GO:0016881
Phpat.001G016900.2	GO:0016881
Phpat.001G017000.1	
Phpat.001G017100.1	GO:0009055,GO:0016491,GO:0055114
Phpat.001G017100.2	GO:0009055,GO:0016491,GO:0055114
Phpat.001G017100.3	GO:0009055,GO:0016491,GO:0055114
Phpat.001G017100.4	GO:0009055,GO:0016491,GO:0055114
Phpat.001G017100.5	GO:0009055,GO:0016491,GO:0055114
Phpat.001G017100.6	GO:0016491,GO:0055114
Phpat.001G017200.1	GO:0004672,GO:0005524,GO:0006468,GO:0005515
Phpat.001G017300.1	GO:0004222,GO:0006508,GO:0008270
Phpat.001G017400.1	
Phpat.001G017500.1	
Phpat.001G017600.1	GO:0055085,GO:0016021
Phpat.001G017700.1	GO:0008270,GO:0016491,GO:0055114
Phpat.001G017700.2	GO:0008270,GO:0016491,GO:0055114
Phpat.001G017700.3	GO:0008270,GO:0016491,GO:0055114
Phpat.001G017800.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G017800.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G017900.1	GO:0005515
Phpat.001G018000.1	
Phpat.001G018100.1	GO:0003924,GO:0005525
Phpat.001G018100.2	GO:0003924,GO:0005525
Phpat.001G018200.1	
Phpat.001G018200.2	
Phpat.001G018300.1	GO:0015078,GO:0015991,GO:0033177
Phpat.001G018400.1	GO:0015078,GO:0015991,GO:0033177
Phpat.001G018400.2	GO:0015078,GO:0015991,GO:0033177
Phpat.001G018500.1	
Phpat.001G018600.1	
Phpat.001G018700.1	
Phpat.001G018800.1	
Phpat.001G018900.1	
Phpat.001G019000.1	GO:0008270,GO:0016787,GO:0004126
Phpat.001G019000.2	GO:0008270,GO:0016787,GO:0004126
Phpat.001G019100.1	GO:0016747,GO:0008152
Phpat.001G019200.1	GO:0003824,GO:0046872
Phpat.001G019200.2	GO:0003824,GO:0046872
Phpat.001G019300.1	
Phpat.001G019400.1	GO:0008080,GO:0016747
Phpat.001G019400.2	GO:0008080,GO:0016747
Phpat.001G019400.3	
Phpat.001G019400.4	
Phpat.001G019500.1	GO:0003824
Phpat.001G019600.1	
Phpat.001G019700.1	
Phpat.001G019800.1	GO:0006886,GO:0005783,GO:0016021
Phpat.001G019900.1	GO:0003677
Phpat.001G020000.1	
Phpat.001G020000.2	
Phpat.001G020000.3	
Phpat.001G020000.4	
Phpat.001G020100.1	GO:0005524,GO:0016773,GO:0005975
Phpat.001G020100.2	GO:0005524,GO:0016773,GO:0005975
Phpat.001G020100.3	GO:0005524,GO:0016773,GO:0005975
Phpat.001G020200.1	
Phpat.001G020300.1	
Phpat.001G020400.1	GO:0003723,GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G020400.2	GO:0003723,GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G020400.3	GO:0003723,GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G020400.4	GO:0003723,GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G020500.1	
Phpat.001G020600.1	GO:0004672,GO:0005524,GO:0006468
Phpat.001G020700.1	
Phpat.001G020700.2	
Phpat.001G020700.3	
Phpat.001G020800.1	GO:0005515
Phpat.001G020900.1	
Phpat.001G021000.1	
Phpat.001G021100.1	
Phpat.001G021100.2	
Phpat.001G021200.1	
Phpat.001G021300.1	
Phpat.001G021400.1	
Phpat.001G021500.1	GO:0016020
Phpat.001G021600.1	
Phpat.001G021700.1	GO:0003676,GO:0008270,GO:0003755,GO:0006457
Phpat.001G021700.2	GO:0003676,GO:0008270
Phpat.001G021800.1	
Phpat.001G021800.2	
Phpat.001G021800.3	
Phpat.001G021800.4	
Phpat.001G021800.5	
Phpat.001G021800.6	
Phpat.001G021900.1	GO:0000049
Phpat.001G022000.1	GO:0003723,GO:0003743,GO:0006413,GO:0005737
Phpat.001G022100.1	GO:0003723,GO:0003743,GO:0006413,GO:0005737
Phpat.001G022100.2	GO:0003723,GO:0003743,GO:0006413,GO:0005737
Phpat.001G022200.1	
Phpat.001G022200.2	
Phpat.001G022300.1	
Phpat.001G022400.1	
Phpat.001G022500.1	
Phpat.001G022600.1	GO:0030599,GO:0042545,GO:0005618
Phpat.001G022600.2	GO:0030599,GO:0042545,GO:0005618
Phpat.001G022700.1	
Phpat.001G022700.2	
Phpat.001G022700.3	
Phpat.001G022700.4	
Phpat.001G022800.1	
Phpat.001G022900.1	
Phpat.001G023000.1	GO:0004672,GO:0005524,GO:0006468,GO:0016998
Phpat.001G023100.1	GO:0008270
Phpat.001G023100.2	GO:0008270
Phpat.001G023200.1	GO:0003777,GO:0005524,GO:0007018
Phpat.001G023200.2	GO:0003777,GO:0005524,GO:0007018
Phpat.001G023300.1	
Phpat.001G023400.1	GO:0016021
Phpat.001G023400.2	GO:0016021
Phpat.001G023400.3	GO:0016021
Phpat.001G023400.4	GO:0016021
Phpat.001G023500.1	
Phpat.001G023600.1	
Phpat.001G023600.2	
Phpat.001G023700.1	
Phpat.001G023800.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G023900.1	
Phpat.001G023900.2	
Phpat.001G023900.3	
Phpat.001G024000.1	GO:0003676
Phpat.001G024000.2	
Phpat.001G024000.3	
Phpat.001G024000.4	GO:0003676
Phpat.001G024000.5	GO:0003676
Phpat.001G024100.1	GO:0016788
Phpat.001G024200.1	
Phpat.001G024300.1	
Phpat.001G024300.2	
Phpat.001G024300.3	
Phpat.001G024400.1	
Phpat.001G024500.1	GO:0016758,GO:0008152
Phpat.001G024600.1	GO:0005216,GO:0006811,GO:0055085,GO:0016020
Phpat.001G024600.2	GO:0005216,GO:0006811,GO:0055085,GO:0016020
Phpat.001G024700.1	GO:0003676
Phpat.001G024800.1	GO:0008107,GO:0042546,GO:0016020
Phpat.001G024900.1	GO:0008107,GO:0042546,GO:0016020
Phpat.001G025000.1	
Phpat.001G025000.2	
Phpat.001G025100.1	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
Phpat.001G025100.2	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
Phpat.001G025200.1	GO:0009055,GO:0016491,GO:0055114,GO:0005515
Phpat.001G025300.1	
Phpat.001G025400.1	
Phpat.001G025500.1	
Phpat.001G025600.1	GO:0004190,GO:0006508
Phpat.001G025700.1	GO:0005515
Phpat.001G025800.1	
Phpat.001G025800.2	
Phpat.001G025900.1	
Phpat.001G026000.1	GO:0016757
Phpat.001G026100.1	
Phpat.001G026100.2	
Phpat.001G026100.3	
Phpat.001G026200.1	GO:0008375,GO:0016020
Phpat.001G026300.1	GO:0007034,GO:0030904
Phpat.001G026300.2	GO:0007034,GO:0030904
Phpat.001G026300.3	GO:0007034,GO:0030904
Phpat.001G026300.4	GO:0007034,GO:0030904
Phpat.001G026400.1	GO:0003849,GO:0009073
Phpat.001G026400.2	GO:0003849,GO:0009073
Phpat.001G026500.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G026500.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G026500.3	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G026600.1	GO:0004672,GO:0005524,GO:0006468,GO:0005515
Phpat.001G026700.1	GO:0004672,GO:0005524,GO:0006468
Phpat.001G026800.1	GO:0000166,GO:0046872,GO:0003824,GO:0008152
Phpat.001G026800.2	GO:0000166,GO:0046872,GO:0003824,GO:0008152
Phpat.001G026800.3	GO:0000166,GO:0046872,GO:0003824,GO:0008152
Phpat.001G026900.1	
Phpat.001G027000.1	
Phpat.001G027100.1	
Phpat.001G027200.1	
Phpat.001G027300.1	
Phpat.001G027400.1	GO:0003700,GO:0006355,GO:0005667
Phpat.001G027500.1	
Phpat.001G027600.1	
Phpat.001G027700.1	GO:0020037
Phpat.001G027700.2	GO:0020037
Phpat.001G027700.3	GO:0020037
Phpat.001G027700.4	GO:0020037
Phpat.001G027700.5	GO:0020037
Phpat.001G027700.6	GO:0020037
Phpat.001G027800.1	GO:0006887,GO:0000145
Phpat.001G027800.2	GO:0006887,GO:0000145
Phpat.001G027900.1	GO:0004190,GO:0006508
Phpat.001G027900.2	GO:0004190,GO:0006508
Phpat.001G028000.1	GO:0008270,GO:0005622
Phpat.001G028000.2	GO:0008270,GO:0005622
Phpat.001G028000.3	GO:0008270,GO:0005622
Phpat.001G028100.1	GO:0008270,GO:0016491,GO:0055114
Phpat.001G028100.2	GO:0008270,GO:0016491,GO:0055114
Phpat.001G028100.3	GO:0008270,GO:0016491,GO:0055114
Phpat.001G028100.4	GO:0008270,GO:0016491,GO:0055114
Phpat.001G028100.5	GO:0008270,GO:0016491,GO:0055114
Phpat.001G028200.1	GO:0016972,GO:0055114
Phpat.001G028300.1	
Phpat.001G028400.1	
Phpat.001G028500.1	
Phpat.001G028500.2	
Phpat.001G028600.1	GO:0004325,GO:0006783
Phpat.001G028600.2	GO:0004325,GO:0006783
Phpat.001G028600.3	GO:0004325,GO:0006783
Phpat.001G028700.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Phpat.001G028800.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G028900.1	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.10	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.11	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.2	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.3	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.4	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.5	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.6	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.7	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.8	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G028900.9	GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.001G029000.1	
Phpat.001G029100.1	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
Phpat.001G029200.1	
Phpat.001G029300.1	
Phpat.001G029300.2	
Phpat.001G029300.3	
Phpat.001G029300.4	
Phpat.001G029300.5	
Phpat.001G029400.1	GO:0003700,GO:0043565,GO:0046983,GO:0006355
Phpat.001G029400.2	GO:0003700,GO:0043565,GO:0046983,GO:0006355
Phpat.001G029500.1	GO:0016491,GO:0055114,GO:0003854,GO:0016616,GO:0006694
Phpat.001G029600.1	
Phpat.001G029600.2	
Phpat.001G029600.3	
Phpat.001G029700.1	
Phpat.001G029700.2	
Phpat.001G029800.1	
Phpat.001G029900.1	GO:0004672,GO:0005524,GO:0006468
Phpat.001G030000.1	
Phpat.001G030100.1	
Phpat.001G030200.1	GO:0003735,GO:0006412,GO:0005840
Phpat.001G030300.1	
Phpat.001G030300.2	
Phpat.001G030400.1	
Phpat.001G030400.2	
Phpat.001G030500.1	GO:0003924,GO:0005525
Phpat.001G030500.2	GO:0003924,GO:0005525
Phpat.001G030500.3	GO:0003924,GO:0005525
Phpat.001G030600.1	
Phpat.001G030700.1	GO:0004672,GO:0005524,GO:0006468
Phpat.001G030800.1	
Phpat.001G030900.1	
Phpat.001G031000.1	
Phpat.001G031100.1	GO:0003777,GO:0005524,GO:0007018
Phpat.001G031100.2	GO:0003777,GO:0005524,GO:0007018
Phpat.001G031200.1	
Phpat.001G031300.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G031300.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G031400.1	
Phpat.001G031500.1	
Phpat.001G031600.1	GO:0003700,GO:0006355
Phpat.001G031700.1	
Phpat.001G031800.1	GO:0003700,GO:0006355
Phpat.001G031900.1	GO:0016597,GO:0016743,GO:0006520
Phpat.001G032000.1	GO:0008236,GO:0006508
Phpat.001G032100.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G032100.2	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G032100.3	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G032200.1	
Phpat.001G032300.1	GO:0016740,GO:0008168,GO:0005737,GO:0008276,GO:0006479
Phpat.001G032400.1	GO:0005507,GO:0009055
Phpat.001G032500.1	GO:0000166,GO:0004813,GO:0005524,GO:0006419,GO:0005737,GO:0016876,GO:0043039
Phpat.001G032600.1	
Phpat.001G032600.2	
Phpat.001G032700.1	GO:0016616,GO:0051287,GO:0008152,GO:0055114,GO:0016597,GO:0048037,GO:0004455,GO:0008652
Phpat.001G032700.2	GO:0016616,GO:0051287,GO:0008152,GO:0055114,GO:0016597,GO:0048037,GO:0004455,GO:0008652
Phpat.001G032700.3	GO:0016616,GO:0051287,GO:0008152,GO:0055114,GO:0016597,GO:0048037,GO:0004455,GO:0008652
Phpat.001G032800.1	
Phpat.001G032900.1	
Phpat.001G033000.1	
Phpat.001G033000.2	
Phpat.001G033100.1	
Phpat.001G033200.1	
Phpat.001G033300.1	GO:0016491,GO:0008152,GO:0003854,GO:0016616,GO:0006694,GO:0055114,GO:0003824,GO:0050662,GO:0044237,GO:0009058,GO:0008831,GO:0045226
Phpat.001G033400.1	GO:0005515
Phpat.001G033500.1	GO:0016746,GO:0008152
Phpat.001G033500.2	GO:0016746,GO:0008152
Phpat.001G033600.1	
Phpat.001G033700.1	GO:0003676
Phpat.001G033700.2	GO:0003676
Phpat.001G033700.3	GO:0003676
Phpat.001G033800.1	
Phpat.001G033800.2	
Phpat.001G033900.1	GO:0003824
Phpat.001G033900.2	GO:0003824
Phpat.001G033900.3	GO:0003824
Phpat.001G034000.1	
Phpat.001G034100.1	
Phpat.001G034200.1	
Phpat.001G034300.1	GO:0004750,GO:0005975
Phpat.001G034300.2	GO:0004750,GO:0005975
Phpat.001G034300.3	GO:0004750,GO:0005975
Phpat.001G034300.4	GO:0004750,GO:0005975
Phpat.001G034400.1	GO:0003735,GO:0006414,GO:0005622,GO:0005840,GO:0042254
Phpat.001G034400.2	GO:0003735,GO:0006414,GO:0005622,GO:0005840,GO:0042254
Phpat.001G034500.1	GO:0003723
Phpat.001G034500.2	GO:0003723
Phpat.001G034600.1	
Phpat.001G034700.1	GO:0005515
Phpat.001G034800.1	
Phpat.001G034900.1	
Phpat.001G035000.1	GO:0003676
Phpat.001G035000.2	GO:0003676
Phpat.001G035100.1	GO:0005515,GO:0005543,GO:0005525,GO:0003924
Phpat.001G035200.1	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
Phpat.001G035200.2	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
Phpat.001G035200.3	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
Phpat.001G035200.4	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
Phpat.001G035300.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.001G035400.1	
Phpat.001G035500.1	GO:0005515
Phpat.001G035600.1	GO:0005515
Phpat.001G035600.2	GO:0005515
Phpat.001G035600.3	GO:0005515
Phpat.001G035600.4	GO:0005515
Phpat.001G035700.1	GO:0008270
Phpat.001G035700.2	GO:0008270
Phpat.001G035700.3	GO:0008270
Phpat.001G035800.1	GO:0006820,GO:0016021
Phpat.001G035900.1	GO:0009058
Phpat.001G036000.1	
Phpat.001G036100.1	GO:0005515
Phpat.001G036100.2	GO:0005515
Phpat.001G036100.3	GO:0005515
Phpat.001G036100.4	GO:0005515
Phpat.001G036200.1	
Phpat.001G036300.1	
Phpat.001G036400.1	
Phpat.001G036500.1	
Phpat.001G036600.1	GO:0008270
Phpat.001G036600.2	GO:0008270
Phpat.001G036700.1	
Phpat.001G036800.1	
